url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/ghorbani.html,یوسف قربانی,فرمانده هوانیروز ارتش,https://factnameh.com/wp-content/uploads/2020/05/Factnameh-yousef-ghorbani-225x225.jpg?t=1588868082,1,0,0,0,0,1,0
/profiles/tabatabaienejad.html,یوسف طباطبایی‌نژاد,امام جمعه اصفهان,https://factnameh.com/wp-content/uploads/2017/07/Factnameh-Yousef-TabatabaeiNejad-225x225.jpg?t=1537801567,2,0,0,0,0,1,0
/profiles/rahimsafavi.html,یحیی رحیم‌صفوی,دستیار و مشاور عالی رهبری ایران  ,https://factnameh.com/wp-content/uploads/2017/12/Factnameh-Rahim-Safavi-225x225.jpg?t=1537801783,3,0,0,0,0,1,0
/profiles/seif.html,ولی‌الله سیف,رییس سابق بانک مرکزی,https://factnameh.com/wp-content/uploads/2018/05/Factnameh-valiallah-seifi-225x225.png?t=1537801881,4,0,0,0,0,1,0
/profiles/health-ministry.html,وزارت بهداشت,,https://factnameh.com/wp-content/uploads/2020/03/behdasht-225x150.jpg?t=1584735360,5,0,0,1,0,0,0
/profiles/ghobadidana.html,وحید قبادی دانا,رییس سازمان بهزیستی,https://factnameh.com/wp-content/uploads/2019/01/Factnameh-vahid-ghobadi-225x225.png?t=1548788725,6,0,1,0,0,0,0
/profiles/haghanian.html,وحید حقانیان,معاون امور ویژه دفتر رهبری,https://factnameh.com/wp-content/uploads/2017/11/Factnameh-Vahid-Haghanian-225x225.jpg?t=1537801493,7,0,0,0,0,1,0
/profiles/hengameh-shahidi.html,هنگامه شهیدی,روزنامه‌نگار,https://factnameh.com/wp-content/uploads/2018/06/Factnameh-hengameh-shahidi-225x225.png?t=1537802153,8,1,0,0,0,0,0
/profiles/hashemi.html,همایون هاشمی,نماینده میاندوآب در مجلس,https://factnameh.com/wp-content/uploads/2018/08/Factnameh-homayoun-hashemi-225x225.png?t=1537802041,9,0,0,0,1,0,0
/profiles/nouraldin-pirmoazen.html,نورالدین پیرموذن,پزشک و نماینده پیشین مجلس,https://factnameh.com/wp-content/uploads/2021/02/Factnameh-nouraldin-pirmoazen-225x225.jpg?t=1612491581,10,0,0,0,0,1,0
